"Barcode","variable","value","Batch","Rep","gene","ploidy","class"
60959,"A.DE1.PCRa_fitness",0.35896270359447,"DE","fitness","other","NotSequenced","other"
60973,"A.DE1.PCRa_fitness",0.293330272940465,"DE","fitness","Diploid","Diploid","Diploid"
61570,"A.DE1.PCRa_fitness",0.349953052595054,"DE","fitness","other","NotSequenced","other"
62344,"A.DE1.PCRa_fitness",0.391642488920881,"DE","fitness","other","NotSequenced","other"
62701,"A.DE1.PCRa_fitness",0.351762482672196,"DE","fitness","other","Diploid","other"
63215,"A.DE1.PCRa_fitness",0.746769786199803,"DE","fitness","GPB2","Haploid","PKA"
63382,"A.DE1.PCRa_fitness",0.391879266997605,"DE","fitness","other","NotSequenced","other"
64115,"A.DE1.PCRa_fitness",0.341657288257783,"DE","fitness","other","NotSequenced","other"
64731,"A.DE1.PCRa_fitness",0.0447774171911195,"DE","fitness","other","Haploid","other"
65196,"A.DE1.PCRa_fitness",0.423634961333791,"DE","fitness","other","Diploid","other"
65266,"A.DE1.PCRa_fitness",0.379318160349227,"DE","fitness","other","NotSequenced","other"
65692,"A.DE1.PCRa_fitness",0.356165436535132,"DE","fitness","Diploid","Diploid","Diploid"
65819,"A.DE1.PCRa_fitness",0.652758546035021,"DE","fitness","IRA1","Haploid","PKA"
66652,"A.DE1.PCRa_fitness",-0.0823718199034222,"DE","fitness","other","NotSequenced","other"
67711,"A.DE1.PCRa_fitness",0.36772646805169,"DE","fitness","other","NotSequenced","other"
68197,"A.DE1.PCRa_fitness",0.253126563297395,"DE","fitness","other","Diploid","other"
69575,"A.DE1.PCRa_fitness",0.372544305272672,"DE","fitness","Diploid","Diploid","Diploid"
69928,"A.DE1.PCRa_fitness",0.295197677272552,"DE","fitness","other","NotSequenced","other"
70033,"A.DE1.PCRa_fitness",0.169584292658818,"DE","fitness","other","Haploid","other"
70408,"A.DE1.PCRa_fitness",0.0496809427697377,"DE","fitness","other","Haploid","other"
70433,"A.DE1.PCRa_fitness",0.825315933288715,"DE","fitness","PDE2","Haploid","PKA"
70812,"A.DE1.PCRa_fitness",0.364779043109402,"DE","fitness","other","Diploid","other"
70982,"A.DE1.PCRa_fitness",0.355617907286808,"DE","fitness","other","Diploid","other"
71109,"A.DE1.PCRa_fitness",0.499960524768013,"DE","fitness","other","NotSequenced","other"
71696,"A.DE1.PCRa_fitness",0.37198786887505,"DE","fitness","other","Diploid","other"
71751,"A.DE1.PCRa_fitness",0.441731706685976,"DE","fitness","other","Diploid","other"
71926,"A.DE1.PCRa_fitness",-0.0447831166181651,"DE","fitness","other","NotSequenced","neutral spikein"
72008,"A.DE1.PCRa_fitness",0.120168638675601,"DE","fitness","other","NotSequenced","other"
72395,"A.DE1.PCRa_fitness",0.0693873219017604,"DE","fitness","other","NotSequenced","other"
72591,"A.DE1.PCRa_fitness",0.804163176672512,"DE","fitness","Diploid","Diploid","Diploid"
72939,"A.DE1.PCRa_fitness",0.0344147381026291,"DE","fitness","other","NotSequenced","neutral spikein"
73802,"A.DE1.PCRa_fitness",-0.0117674614033356,"DE","fitness","other","NotSequenced","neutral spikein"
73881,"A.DE1.PCRa_fitness",0.329866642346705,"DE","fitness","other","Diploid","other"
74033,"A.DE1.PCRa_fitness",0.342506757058318,"DE","fitness","other","Diploid","other"
74280,"A.DE1.PCRa_fitness",-0.0133343105930505,"DE","fitness","other","Haploid","other"
75144,"A.DE1.PCRa_fitness",0.359333838275959,"DE","fitness","other","Diploid","other"
75669,"A.DE1.PCRa_fitness",0.496617289594074,"DE","fitness","GPB1","Haploid","PKA"
75841,"A.DE1.PCRa_fitness",0.402601267992015,"DE","fitness","other","Diploid","other"
76616,"A.DE1.PCRa_fitness",0.312091587179218,"DE","fitness","Diploid","Diploid","Diploid"
77609,"A.DE1.PCRa_fitness",0.0771769357903581,"DE","fitness","other","NotSequenced","other"
77824,"A.DE1.PCRa_fitness",0.427707108518631,"DE","fitness","other","NotSequenced","other"
78232,"A.DE1.PCRa_fitness",0.281422144269622,"DE","fitness","other","NotSequenced","other"
78573,"A.DE1.PCRa_fitness",0.408990643625853,"DE","fitness","other","NotSequenced","other"
79953,"A.DE1.PCRa_fitness",0.0549937126075792,"DE","fitness","other","Haploid","other"
81798,"A.DE1.PCRa_fitness",0.369563101322863,"DE","fitness","other","NotSequenced","other"
82806,"A.DE1.PCRa_fitness",0.327294603577169,"DE","fitness","other","Diploid","other"
83255,"A.DE1.PCRa_fitness",0.383197490615773,"DE","fitness","other","NotSequenced","other"
83504,"A.DE1.PCRa_fitness",0.36922698306821,"DE","fitness","other","NotSequenced","other"
83967,"A.DE1.PCRa_fitness",0.351145436253614,"DE","fitness","Diploid","Diploid","Diploid"
84597,"A.DE1.PCRa_fitness",0.376583381061323,"DE","fitness","Diploid","Diploid","Diploid"
84997,"A.DE1.PCRa_fitness",0.0618315082637897,"DE","fitness","other","NotSequenced","other"
85751,"A.DE1.PCRa_fitness",0.38759732211111,"DE","fitness","Diploid","Diploid","Diploid"
87689,"A.DE1.PCRa_fitness",0.357683727544604,"DE","fitness","other","NotSequenced","other"
88494,"A.DE1.PCRa_fitness",0.029384214285182,"DE","fitness","other","Haploid","other"
88706,"A.DE1.PCRa_fitness",0.372826697331414,"DE","fitness","other","NotSequenced","other"
89848,"A.DE1.PCRa_fitness",0.366759000990309,"DE","fitness","Diploid","Diploid","Diploid"
90003,"A.DE1.PCRa_fitness",0.374126525371489,"DE","fitness","other","Diploid","other"
91807,"A.DE1.PCRa_fitness",0.343011886767053,"DE","fitness","other","NotSequenced","other"
94393,"A.DE1.PCRa_fitness",0.316358314722974,"DE","fitness","other","NotSequenced","other"
99005,"A.DE1.PCRa_fitness",0.0541735423572013,"DE","fitness","other","NotSequenced","other"
99035,"A.DE1.PCRa_fitness",0.406881796134193,"DE","fitness","Diploid","Diploid","Diploid"
