BarcodeID,CellBatch1_fitness,24h_fitness,48h_fitness,72h_fitness,96h_fitness,120h_fitness,168h_fitness,4gen_fitness,6gen_fitness,8gen_fitness,8gen_2_fitness,9gen_fitness,CellBatch1_err,24h_err,48h_err,72h_err,96h_err,120h_err,168h_err,4gen_err,6gen_err,8gen_err,8gen_2_err,9gen_err,Global EC Fitness,Global EC Error,CloneID,Ploidy,Class,Mutated Gene,Mutation Type,Batch,Fermentation_Dependent_Component,Respiration_Dependent_Component,Stationary_Dependent_Rate,Cluster (Figure S6BC), 
292155,0.0186451,-0.005291348,-0.0623701,-0.056283471,-0.115331768,-0.022843813,-0.192658134,0.044538541,-0.002986084,0.053289707,0.069826098,0.056048651,0.080552716,0.144015151,0.229061,0.184284933,0.204745958,0.139944897,0.184599779,0.111783025,0.094468083,0.092046786,0.107450395,0.107895909,0.037114313,0.051447207,131016-6-C6,Haploid,neutral_haploids,NA,NA,NA,0.061374343,-0.066591878,-0.001187972,NA,
292434,0.166440263,0.336838669,0.237290634,0.35116742,0.36317388,0.510298008,0.321814418,0.177176197,0.146245376,0.215353001,0.294305302,0.371227499,0.083449767,0.134390667,0.187164138,0.179788174,0.199237926,0.119772183,0.137688392,0.105726654,0.085284385,0.084132154,0.092525741,0.076081202,0.221918667,0.04821127,131122-2-B2,Diploid,pure_diploids,NA,NA,NA,0.331134918,-0.116139373,-0.000513844,NA,
292725,0.155344051,0.080582041,-0.0731529,0.148770203,0.204419707,-0.08624317,0.263469311,-0.076039201,-0.010288107,-0.115403601,0.034488793,0.066773844,0.082470668,0.138411632,0.281035,0.248451203,0.214807881,0.137095314,0.145418442,0.10170838,0.098495072,0.099499043,0.104941206,0.09676108,0.038089617,0.053337791,E2-88-6-G2,Haploid,neutral_haploids,NA,NA,NA,0.146215367,-0.179357431,0.00179473,NA,
292913,0.108450803,0.296363555,0.0303768,0.262746676,0.358457641,0.274212468,0.187015209,0.18954108,0.112918742,0.265734489,0.318314455,0.322568359,0.046784977,0.115033459,0.124509,0.092447118,0.097748222,0.085562323,0.094995621,0.06026522,0.046920124,0.056965962,0.057134425,0.052215748,0.203287078,0.0296713,E2-88-7-A4,Diploid,pure_diploids,NA,NA,NA,0.306939957,-0.310317881,-0.001098105,NA,
293349,0.107891531,0.292491084,0.0855276,0.269679692,0.315932925,0.34459429,0.330170274,0.18037671,0.167421896,0.221629122,0.319918144,0.384662693,0.056422104,0.118269068,0.168917,0.109189386,0.112542571,0.090972816,0.100604283,0.068851157,0.055089992,0.061882845,0.063418153,0.056354614,0.202932882,0.03412067,E2-88-6-C10,Diploid,pure_diploids,NA,NA,NA,0.331508375,-0.241457398,0.000554938,NA,
293453,-0.015973439,0.022769304,0.0724459,-0.026378289,0.298043391,-0.047594255,-0.043009802,-0.05845229,0.081085359,0.051283316,-0.059560719,0.029770195,0.078792351,0.140007907,0.204837,0.168422796,0.166935522,0.135680242,0.156656021,0.107757751,0.084760371,0.089940149,0.10482013,0.096338271,0.000181432,0.050028443,131016-5-G5,Haploid,neutral_haploids,NA,NA,NA,0.054081161,0.057956029,-0.001428812,NA,
294054,0.194356947,0.393837326,0.429659,0.635262105,0.564008337,0.558681032,0.426361524,0.128039714,0.137429154,0.171817661,0.217985834,0.3008097,0.073402858,0.12477806,0.216071,0.14949781,0.142824977,0.102350986,0.124389726,0.092148394,0.073135852,0.07813277,0.081534838,0.070008628,0.203761774,0.043800376,130822-2-F1,Diploid,pure_diploids,NA,NA,NA,0.262504318,0.041791953,-0.002090707,NA,
294140,-0.056724502,0.061575776,0.0106932,-0.048627663,-0.112482067,-0.069386448,-0.083457027,0.009427805,-0.047089564,-0.036782446,-0.032439777,-0.067094156,0.072892121,0.1316019,0.204027,0.163845826,0.198213756,0.124621507,0.151246098,0.090532008,0.081691185,0.088944471,0.094604683,0.097027699,-0.04150648,0.04712125,131031-1-F10,Haploid,neutral_haploids,NA,NA,NA,-0.088990195,-0.059363005,-0.000209132,NA,
294330,0.086270485,-0.09084675,-0.158371,0.072244326,0.064229931,0.279996167,0.060642803,-0.031538426,-0.107459361,-0.065641882,-0.017616187,-0.038095384,0.097008819,0.165808397,0.396395,0.352680827,0.269827024,0.148436719,0.194793817,0.129862509,0.132074473,0.127107581,0.138967055,0.123383004,0.01407072,0.066474463,131005-1-G12,Haploid,neutral_haploids,NA,NA,NA,0.019076488,-0.078778292,-0.000774393,NA,
294706,0.019647298,-0.008194027,0.141317,0.264419074,0.207316251,0.050618337,0.270476927,-0.00676233,-0.108252484,-0.097770032,-0.070243748,-0.079673618,0.097486559,0.155771541,0.318769,0.256174159,0.369938622,0.167512847,0.182966766,0.128841969,0.128875995,0.119966054,0.152738684,0.135112281,-0.027906719,0.066312062,131011-2-H7,Haploid,neutral_haploids,Other,Other,old,-0.104560368,0.174429531,0.000625968,NA,
